X-position, Y-position, theta, phi, mua, mus, mua, mus, mua, mus, mua, mus, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT
627.03, 511.32, 1.9460, 0.1340, 0.0155, 0.6338, 0.0149, 0.6081, 0.0125, 0.6003, 0.0114, 0.5816, 0.0150, 0.6492, 0.0162, 0.5678, 0.0066, 0.2938, 0.0095, 0.3668
627.86, 511.35, 1.8640, 0.1270, 0.0153, 0.6373, 0.0149, 0.6064, 0.0124, 0.6011, 0.0115, 0.5771, 0.0160, 0.6141, 0.0171, 0.5304, 0.0080, 0.2658, 0.0097, 0.6667
674.35, 511.75, 1.7090, 0.1310, 0.0156, 0.6317, 0.0151, 0.6005, 0.0129, 0.5775, 0.0117, 0.5716, 0.0189, 0.5333, 0.0139, 0.6501, 0.0132, 0.5721, 0.0096, 0.4664
678.08, 514.00, 1.6540, 0.0980, 0.0149, 0.6342, 0.0146, 0.5971, 0.0125, 0.5800, 0.0113, 0.5731, 0.0115, 0.4498, 0.0148, 0.6007, 0.0125, 0.5860, 0.0091, 0.6769
703.50, 503.65, 1.6720, 0.1130, 0.0162, 0.6030, 0.0161, 0.5650, 0.0138, 0.5473, 0.0122, 0.5504, 0.0114, 0.3887, 0.0135, 0.6555, 0.0127, 0.4722, 0.0084, 0.3936
747.75, 497.03, 1.4700, 0.0900, 0.0150, 0.6489, 0.0144, 0.6295, 0.0118, 0.6326, 0.0113, 0.5980, 0.0149, 0.6513, 0.0090, 0.2875, 0.0157, 0.5190, 0.0117, 0.6141
798.37, 476.46, 1.1610, 0.0860, 0.0180, 0.5695, 0.0179, 0.5387, 0.0158, 0.5124, 0.0140, 0.5135, 0.0182, 0.5545, 0.0130, 0.3389, 0.0073, 0.2304, 0.0111, 0.6283
837.76, 459.97, 1.0990, 0.0730, 0.0166, 0.5907, 0.0161, 0.5708, 0.0141, 0.5399, 0.0126, 0.5370, 0.0180, 0.5570, 0.0133, 0.3682, 0.0107, 0.6719, 0.0103, 0.6408
872.46, 441.87, 0.8350, 0.0660, 0.0159, 0.6095, 0.0158, 0.5780, 0.0132, 0.5720, 0.0122, 0.5479, 0.0080, 0.3589, 0.0149, 0.6068, 0.0109, 0.6707, 0.0135, 0.3881
840.56, 286.67, -0.3180, 0.0500, 0.0153, 0.6298, 0.0149, 0.6023, 0.0129, 0.5765, 0.0115, 0.5728, 0.0135, 0.6957, 0.0122, 0.7028, 0.0147, 0.5058, 0.0052, 0.2424
839.46, 287.63, -0.3520, 0.0380, 0.0156, 0.6219, 0.0151, 0.5940, 0.0128, 0.5820, 0.0115, 0.5767, 0.0148, 0.6488, 0.0124, 0.6157, 0.0130, 0.5747, 0.0100, 0.6403
811.14, 305.01, -0.0240, 0.0270, 0.0154, 0.6274, 0.0151, 0.5943, 0.0129, 0.5794, 0.0116, 0.5726, 0.0152, 0.6307, 0.0134, 0.6619, 0.0129, 0.5736, 0.0120, 0.5575
801.04, 314.50, 0.5100, 0.0230, 0.0157, 0.6166, 0.0154, 0.5833, 0.0131, 0.5699, 0.0119, 0.5584, 0.0149, 0.6467, 0.0151, 0.5935, 0.0140, 0.5408, 0.0095, 0.6692
